# TF-IDF Weighting From http://www.pejeng.desa.id/post/
term,term_id,weight,corpus_id
bethara,1265,0.268846464533,corpus_16
sweta,3084,0.268326820387,corpus_59
semak,3179,0.268326820387,corpus_59
balai,10,0.267889627663,corpus_45
parkir,1665,0.26785302973,corpus_52
berjualan,1636,0.26785302973,corpus_52
lomba,205,0.267850870102,corpus_3
seragam,3151,0.266199906187,corpus_58
telaga,3224,0.264710380032,corpus_61
maya,3206,0.264710380032,corpus_61
apit,1996,0.263807703206,corpus_84
tumpukan,3949,0.263338655789,corpus_83
turnament,1853,0.261884715736,corpus_29
porvin,3786,0.261019963154,corpus_76
satpol,1683,0.260626387734,corpus_25
pp,1676,0.260626387734,corpus_25
menikmati,1399,0.25907133953,corpus_72
tembok,2685,0.25837724479,corpus_47
reruntuhan,2678,0.25837724479,corpus_47
gol,1788,0.258287883087,corpus_67
kekerasan,3995,0.257981906963,corpus_85
pengurus,1528,0.257830701723,corpus_82
musyawarah,3295,0.257404716016,corpus_63
penganyar,1179,0.256715252127,corpus_60
korban,2669,0.254500929591,corpus_85
belukar,3164,0.253863776696,corpus_59
nekara,1175,0.253472591845,corpus_13
ida,36,0.253127064016,corpus_54
karya,41,0.251481403054,corpus_88
ngayah,68,0.251480374063,corpus_22
suardita,1191,0.249678961834,corpus_14
revolusi,1548,0.249616013373,corpus_21
penabuh,241,0.249346802713,corpus_6
empul,1099,0.24467631006,corpus_12
burung,678,0.244303645735,corpus_7
ssb,2753,0.24430004404,corpus_49
quarter,3884,0.243475048887,corpus_81
ngresi,69,0.241794907271,corpus_1
mlaspas,65,0.241794907271,corpus_1
gana,29,0.241794907271,corpus_1
bhuana,905,0.241638071335,corpus_9
iii,183,0.241030946178,corpus_26
junior,2738,0.240473053034,corpus_68
padudusan,235,0.240297433342,corpus_88
kunjungan,2185,0.240147726914,corpus_34
prosesi,254,0.239958102596,corpus_16
25,3603,0.239357883544,corpus_71
gianyar,177,0.239074657789,corpus_60
ranting,1545,0.238831405539,corpus_89
pertandingan,436,0.238281800107,corpus_71
permasalahan,2141,0.237062554039,corpus_33
bhatara,1092,0.233630416078,corpus_19
gunung,810,0.233462218945,corpus_51
yoga,897,0.232366613035,corpus_82
klub,1883,0.232283350276,corpus_29
situasi,2216,0.231639154794,corpus_34
sakit,515,0.230811439445,corpus_5
wabup,2423,0.230742736013,corpus_40
liar,713,0.22973078418,corpus_86
gotong,2056,0.229328971137,corpus_84
sudamala,522,0.22920824385,corpus_5
rs,513,0.22920824385,corpus_5
diksita,2963,0.227569513796,corpus_55
pegawai,3191,0.226587787547,corpus_60
pejuang,1523,0.226225755883,corpus_21
upacara,129,0.226088918109,corpus_9
terhibur,3158,0.225092607837,corpus_58
sumerta,3262,0.224385313577,corpus_62
kamar,3240,0.224385313577,corpus_62
luh,333,0.223889013042,corpus_43
longsor,1939,0.223734145228,corpus_31
suwetha,4247,0.223401203294,corpus_89
tirtha,932,0.222729124817,corpus_12
asap,2309,0.222673199344,corpus_83
memprihatinkan,2065,0.222671223435,corpus_32
tim,289,0.222492030247,corpus_81
persyaratan,2550,0.222333900002,corpus_43
bisnis,2520,0.222333900002,corpus_43
santi,1060,0.221565767857,corpus_56
kelompok,1107,0.221520103991,corpus_87
bhakti,1091,0.220705123543,corpus_60
olahraga,430,0.220608899541,corpus_65
seni,1406,0.220590839428,corpus_65
aungan,1998,0.219839752671,corpus_84
pemedek,1052,0.218985243563,corpus_13
pekerja,2203,0.218680643793,corpus_34
pejabat,74,0.218643169063,corpus_40
saluran,1977,0.218477942642,corpus_47
pedadapan,3627,0.217610217786,corpus_79
pertanian,2915,0.217274422406,corpus_53
kesebelasan,1701,0.21700722613,corpus_74
final,409,0.216926287201,corpus_66
gagal,1782,0.215567768853,corpus_70
u.,2258,0.215166323326,corpus_84
tazmir,2256,0.215166323326,corpus_84
inf,2243,0.215166323326,corpus_84
perlindungan,4042,0.214984922469,corpus_85
tapel,1747,0.213710217689,corpus_27
pasupati,1740,0.213710217689,corpus_27
dipasupati,1731,0.213710217689,corpus_27
gratis,2387,0.213449698544,corpus_72
tuan,1852,0.212651747053,corpus_28
pembeli,2494,0.212586421615,corpus_42
nganyarin,1043,0.212262297883,corpus_13
karangasem,1106,0.212056098878,corpus_14
sampah,1978,0.212013429679,corpus_83
sekolah,439,0.211882422898,corpus_56
punia,1185,0.211161592365,corpus_40
melawan,1497,0.211069643911,corpus_21
pembangunan,2027,0.21039645324,corpus_63
tingkat,381,0.210248538091,corpus_3
agus,1760,0.207953931365,corpus_40
penonton,247,0.207865844125,corpus_2
rahina,94,0.207703151973,corpus_22
0,1755,0.207545875446,corpus_74
jurnalisme,3325,0.20745624811,corpus_64
guru,953,0.207156788617,corpus_55
nanda,3544,0.205602462334,corpus_69
